date,price,indicator,long,short,signal,position,base,pnl,pnl_dollars,cum_pnl_dollars,balance
2018-02-06 20:13:00,6515.5,-0.2277756028490967,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 20:23:00,6522.5,-0.4271711953673907,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 20:35:00,6494.25,-0.210238371084853,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 20:47:00,6542.25,0.19650279134376047,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 20:55:00,6562.25,0.8233956348813027,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 21:01:00,6598.75,1.428746567495578,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 21:07:00,6621.75,2.0035962191781493,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 21:13:00,6643.5,2.424903864259747,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 21:21:00,6625.5,2.8342968028782503,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 21:32:00,6626.5,3.2563462560210468,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 21:41:00,6632.0,3.7436701039384057,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 21:50:00,6673.25,4.017901408333295,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 21:57:00,6641.5,4.373087688174203,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 22:00:00,6657.5,4.7867201985945265,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-06 22:13:00,6669.5,5.0851985187692925,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0
2018-02-07 01:11:00,6654.5,5.281214316406436,1,0,1.0,6654.5,6654.5,0.0,0.0,0.0,15000.0
2018-02-07 02:45:00,6640.5,5.473255806840419,1,0,1.0,6640.5,6654.5,-14.0,-280.0,-280.0,14720.0
2018-02-07 04:49:00,6644.5,5.453872332781858,1,0,1.0,6644.5,6640.5,4.0,80.0,-200.0,14800.0
2018-02-07 07:36:00,6616.25,5.147307142081517,1,0,1.0,6616.25,6644.5,-28.25,-565.0,-765.0,14235.0
2018-02-07 09:15:00,6575.25,4.9050180417663825,0,0,1.0,6575.25,6616.25,-41.0,-820.0,-1585.0,13415.0
2018-02-07 11:07:00,6580.25,4.845319763416445,0,0,0.0,0.0,-5.0,5.0,100.0,-1485.0,13515.0
2018-02-07 12:54:00,6604.25,4.856748725624138,0,0,0.0,0.0,0.0,0.0,0.0,-1485.0,13515.0
2018-02-07 13:47:00,6613.25,5.029268265547735,1,0,0.0,0.0,0.0,0.0,0.0,-1485.0,13515.0
2018-02-07 14:15:00,6637.0,5.24661155737316,1,0,1.0,6637.0,6637.0,0.0,0.0,-1485.0,13515.0
2018-02-07 14:47:00,6644.0,5.352516392664007,1,0,1.0,6644.0,6637.0,7.0,140.0,-1345.0,13655.0
2018-02-07 15:12:00,6630.75,5.5283173707508375,1,0,1.0,6630.75,6644.0,-13.25,-265.0,-1610.0,13390.0
2018-02-07 15:29:00,6640.0,5.704910814284607,1,0,1.0,6640.0,6630.75,9.25,185.0,-1425.0,13575.0
2018-02-07 15:33:00,6645.25,5.752500547667215,1,0,1.0,6645.25,6640.0,5.25,105.0,-1320.0,13680.0
2018-02-07 15:38:00,6635.25,5.947995892990896,1,0,1.0,6635.25,6645.25,-10.0,-200.0,-1520.0,13480.0
2018-02-07 15:42:00,6652.0,6.084872248488407,1,0,1.0,6652.0,6635.25,16.75,335.0,-1185.0,13815.0
2018-02-07 15:48:00,6647.25,6.058141129213787,1,0,1.0,6647.25,6652.0,-4.75,-95.0,-1280.0,13720.0
2018-02-07 15:56:00,6630.75,6.22432100077885,1,0,1.0,6630.75,6647.25,-16.5,-330.0,-1610.0,13390.0
2018-02-07 16:03:00,6649.25,6.489489729048649,1,0,1.0,6649.25,6630.75,18.5,370.0,-1240.0,13760.0
2018-02-07 16:07:00,6660.25,6.873803295194677,1,0,1.0,6660.25,6649.25,11.0,220.0,-1020.0,13980.0
2018-02-07 16:15:00,6683.5,7.2390030996243215,1,0,1.0,6683.5,6660.25,23.25,465.0,-555.0,14445.0
